Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  1.28      0.57     0.01  2399485     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::difference_type __gnu_cxx::operator-<int*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&)
  1.28      0.58     0.01  2274819     0.00     0.00  std::tuple_element<0ul, std::pair<int const, std::vector<int, std::allocator<int> > > >::type& std::get<0ul, int const, std::vector<int, std::allocator<int> > >(std::pair<int const, std::vector<int, std::allocator<int> > >&)
  1.28      0.59     0.01  2274819     0.00     0.00  std::pair<int const, std::vector<int, std::allocator<int> > >& std::forward<std::pair<int const, std::vector<int, std::allocator<int> > >&>(std::remove_reference<std::pair<int const, std::vector<int, std::allocator<int> > >&>::type&)
  1.28      0.60     0.01  2274791     0.00     0.00  std::__detail::_Hashtable_base<int, std::pair<int const, std::vector<int, std::allocator<int> > >, std::__detail::_Select1st, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Hashtable_traits<false, false, true> >::_M_eq() const
  1.28      0.61     0.01  2274791     0.00     0.00  std::__detail::_Hashtable_base<int, std::pair<int const, std::vector<int, std::allocator<int> > >, std::__detail::_Select1st, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Hashtable_traits<false, false, true> >::_M_equals(int const&, unsigned long, std::__detail::_Hash_node<std::pair<int const, std::vector<int, std::allocator<int> > >, false>*) const
  1.28      0.62     0.01  2274791     0.00     0.00  std::__detail::_Hashtable_ebo_helper<0, std::equal_to<int>, true>::_S_cget(std::__detail::_Hashtable_ebo_helper<0, std::equal_to<int>, true> const&)
  1.28      0.63     0.01  1404699     0.00     0.00  __gnu_cxx::new_allocator<int>::max_size() const
  1.28      0.64     0.01   936466     0.00     0.00  int* std::__relocate_a<int*, int*, std::allocator<int> >(int*, int*, int*, std::allocator<int>&)
  1.28      0.65     0.01   936466     0.00     0.00  std::enable_if<std::__is_bitwise_relocatable<int, void>::value, int*>::type std::__relocate_a_1<int, int>(int*, int*, int*, std::allocator<int>&)
  1.28      0.66     0.01   860601     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::operator+(long) const
  1.28      0.67     0.01   759543     0.00     0.00  std::tuple<int const&>&& std::forward<std::tuple<int const&> >(std::remove_reference<std::tuple<int const&> >::type&)
  1.28      0.68     0.01   721414     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_deallocate(int*, unsigned long)
  1.28      0.69     0.01   677923     0.00     0.00  __gnu_cxx::__aligned_buffer<std::pair<int const, std::vector<int, std::allocator<int> > > >::_M_addr() const
  1.28      0.70     0.01   500000     0.00     0.00  void std::allocator_traits<std::allocator<int> >::construct<int, int const&>(std::allocator<int>&, int*, int const&)
  1.28      0.71     0.01   253181     0.00     0.00  __gnu_cxx::new_allocator<std::__detail::_Hash_node<std::pair<int const, std::vector<int, std::allocator<int> > >, false> >::deallocate(std::__detail::_Hash_node<std::pair<int const, std::vector<int, std::allocator<int> > >, false>*, unsigned long)
  1.28      0.72     0.01   253181     0.00     0.00  std::_Hashtable<int, std::pair<int const, std::vector<int, std::allocator<int> > >, std::allocator<std::pair<int const, std::vector<int, std::allocator<int> > > >, std::__detail::_Select1st, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::_M_insert_bucket_begin(unsigned long, std::__detail::_Hash_node<std::pair<int const, std::vector<int, std::allocator<int> > >, false>*)
  1.28      0.73     0.01   253181     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::~_Vector_base()
  1.28      0.74     0.01   253181     0.00     0.00  std::__detail::_Hash_node<std::pair<int const, std::vector<int, std::allocator<int> > >, false>* std::addressof<std::__detail::_Hash_node<std::pair<int const, std::vector<int, std::allocator<int> > >, false> >(std::__detail::_Hash_node<std::pair<int const, std::vector<int, std::allocator<int> > >, false>&)
  1.28      0.75     0.01    50529     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > std::__copy_move_backward_a2<true, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >)
  1.28      0.76     0.01       28     0.36     0.95  std::_Hashtable<int, std::pair<int const, std::vector<int, std::allocator<int> > >, std::allocator<std::pair<int const, std::vector<int, std::allocator<int> > > >, std::__detail::_Select1st, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::_M_rehash_aux(unsigned long, std::integral_constant<bool, true>)
  1.28      0.77     0.01        1    10.00   240.75  readEdgeList(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.64      0.78     0.01   506362     0.00     0.00  std::_Tuple_impl<0ul, int const&>::_M_head(std::_Tuple_impl<0ul, int const&>&)
  0.64      0.78     0.01   253181     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::~_Vector_impl()
  0.00      0.78     0.00  5538393     0.00     0.00  __gnu_cxx::__aligned_buffer<std::pair<int const, std::vector<int, std::allocator<int> > > >::_M_ptr()
  0.00      0.78     0.00  5538393     0.00     0.00  __gnu_cxx::__aligned_buffer<std::pair<int const, std::vector<int, std::allocator<int> > > >::_M_addr()
  0.00      0.78     0.00  3177799     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::operator*() const
  0.00      0.78     0.00  3055594     0.00     0.00  std::__detail::_Hash_code_base<int, std::pair<int const, std::vector<int, std::allocator<int> > >, std::__detail::_Select1st, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_h2() const
  0.00      0.78     0.00  3055594     0.00     0.00  std::__detail::_Hashtable_ebo_helper<2, std::__detail::_Mod_range_hashing, true>::_S_cget(std::__detail::_Hashtable_ebo_helper<2, std::__detail::_Mod_range_hashing, true> const&)
  0.00      0.78     0.00  3055566     0.00     0.00  std::hash<int>::operator()(int) const
  0.00      0.78     0.00  2952714     0.00     0.00  std::__detail::_Hash_code_base<int, std::pair<int const, std::vector<int, std::allocator<int> > >, std::__detail::_Select1st, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_extract() const
  0.00      0.78     0.00  2809398     0.00     0.00  int* std::__niter_base<int*>(int*)
  0.00      0.78     0.00  2377643     0.00     0.00  std::unordered_map<int, std::vector<int, std::allocator<int> >, std::hash<int>, std::equal_to<int>, std::allocator<std::pair<int const, std::vector<int, std::allocator<int> > > > >::operator[](int const&)
  0.00      0.78     0.00  2274819     0.00     0.00  decltype ((get<0>)((forward<std::pair<int const, std::vector<int, std::allocator<int> > >&>)({parm#1}))) std::__detail::_Select1st::operator()<std::pair<int const, std::vector<int, std::allocator<int> > >&>(std::pair<int const, std::vector<int, std::allocator<int> > >&) const
  0.00      0.78     0.00  2274819     0.00     0.00  int const& std::__pair_get<0ul>::__get<int const, std::vector<int, std::allocator<int> > >(std::pair<int const, std::vector<int, std::allocator<int> > >&)
  0.00      0.78     0.00  2274791     0.00     0.00  std::__detail::_Equal_helper<int, std::pair<int const, std::vector<int, std::allocator<int> > >, std::__detail::_Select1st, std::equal_to<int>, unsigned long, false>::_S_equals(std::equal_to<int> const&, std::__detail::_Select1st const&, int const&, unsigned long, std::__detail::_Hash_node<std::pair<int const, std::vector<int, std::allocator<int> > >, false>*)
  0.00      0.78     0.00  1974595     0.00     0.00  int const& std::forward<int const&>(std::remove_reference<int const&>::type&)
  0.00      0.78     0.00  1853657     0.00     0.00  std::vector<int, std::allocator<int> >::begin()
  0.00      0.78     0.00  1736612     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::operator++()
  0.00      0.78     0.00  1189647     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator()
  0.00      0.78     0.00  1012780     0.00     0.00  std::__detail::_Hashtable_alloc<std::allocator<std::__detail::_Hash_node<std::pair<int const, std::vector<int, std::allocator<int> > >, false> > >::_M_node_allocator()
  0.00      0.78     0.00  1012780     0.00     0.00  std::__detail::_Hashtable_ebo_helper<0, std::allocator<std::__detail::_Hash_node<std::pair<int const, std::vector<int, std::allocator<int> > >, false> >, true>::_S_get(std::__detail::_Hashtable_ebo_helper<0, std::allocator<std::__detail::_Hash_node<std::pair<int const, std::vector<int, std::allocator<int> > >, false> >, true>&)
  0.00      0.78     0.00  1012724     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::base() const
  0.00      0.78     0.00  1006362     0.00     0.00  operator new(unsigned long, void*)
  0.00      0.78     0.00   936466     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator() const
  0.00      0.78     0.00   936466     0.00     0.00  std::vector<int, std::allocator<int> >::max_size() const
  0.00      0.78     0.00   936466     0.00     0.00  std::allocator_traits<std::allocator<int> >::max_size(std::allocator<int> const&)
  0.00      0.78     0.00   936466     0.00     0.00  std::vector<int, std::allocator<int> >::_S_max_size(std::allocator<int> const&)
  0.00      0.78     0.00   936466     0.00     0.00  std::vector<int, std::allocator<int> >::_S_relocate(int*, int*, int*, std::allocator<int>&)
  0.00      0.78     0.00   936466     0.00     0.00  std::vector<int, std::allocator<int> >::_S_do_relocate(int*, int*, int*, std::allocator<int>&, std::integral_constant<bool, true>)
  0.00      0.78     0.00   936466     0.00     0.00  std::vector<int, std::allocator<int> >::_S_use_relocate()
  0.00      0.78     0.00   936466     0.00     0.00  std::vector<int, std::allocator<int> >::_S_nothrow_relocate(std::integral_constant<bool, true>)
  0.00      0.78     0.00   936466     0.00     0.00  unsigned long const& std::min<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      0.78     0.00   759543     0.00     0.00  bool __gnu_cxx::operator==<int*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&)
  0.00      0.78     0.00   759543     0.00     0.00  std::piecewise_construct_t const& std::forward<std::piecewise_construct_t const&>(std::remove_reference<std::piecewise_construct_t const&>::type&)
  0.00      0.78     0.00   759543     0.00     0.00  std::tuple<>&& std::forward<std::tuple<> >(std::remove_reference<std::tuple<> >::type&)
  0.00      0.78     0.00   677923     0.00     0.00  __gnu_cxx::__aligned_buffer<std::pair<int const, std::vector<int, std::allocator<int> > > >::_M_ptr() const
  0.00      0.78     0.00   677923     0.00     0.00  decltype ((get<0>)((forward<std::pair<int const, std::vector<int, std::allocator<int> > > const&>)({parm#1}))) std::__detail::_Select1st::operator()<std::pair<int const, std::vector<int, std::allocator<int> > > const&>(std::pair<int const, std::vector<int, std::allocator<int> > > const&) const
  0.00      0.78     0.00   677923     0.00     0.00  std::__detail::_Hash_code_base<int, std::pair<int const, std::vector<int, std::allocator<int> > >, std::__detail::_Select1st, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_bucket_index(std::__detail::_Hash_node<std::pair<int const, std::vector<int, std::allocator<int> > >, false> const*, unsigned long) const
  0.00      0.78     0.00   677923     0.00     0.00  std::__detail::_Hash_node_value_base<std::pair<int const, std::vector<int, std::allocator<int> > > >::_M_v() const
  0.00      0.78     0.00   677923     0.00     0.00  std::__detail::_Hash_node_value_base<std::pair<int const, std::vector<int, std::allocator<int> > > >::_M_valptr() const
  0.00      0.78     0.00   677923     0.00     0.00  int const& std::__pair_get<0ul>::__const_get<int const, std::vector<int, std::allocator<int> > >(std::pair<int const, std::vector<int, std::allocator<int> > > const&)
  0.00      0.78     0.00   677923     0.00     0.00  std::tuple_element<0ul, std::pair<int const, std::vector<int, std::allocator<int> > > >::type const& std::get<0ul, int const, std::vector<int, std::allocator<int> > >(std::pair<int const, std::vector<int, std::allocator<int> > > const&)
  0.00      0.78     0.00   677923     0.00     0.00  std::pair<int const, std::vector<int, std::allocator<int> > > const& std::forward<std::pair<int const, std::vector<int, std::allocator<int> > > const&>(std::remove_reference<std::pair<int const, std::vector<int, std::allocator<int> > > const&>::type&)
  0.00      0.78     0.00   625881     0.00     0.00  __gnu_cxx::__ops::_Iter_equals_val<int const>::_Iter_equals_val(int const&)
  0.00      0.78     0.00   625881     0.00     0.00  __gnu_cxx::__ops::_Iter_equals_val<int const> __gnu_cxx::__ops::__iter_equals_val<int const>(int const&)
  0.00      0.78     0.00   625881     0.00     0.00  std::iterator_traits<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > >::iterator_category std::__iterator_category<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&)
  0.00      0.78     0.00   625881     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > std::find<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, int>(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, int const&)
  0.00      0.78     0.00   625881     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > std::__find_if<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__ops::_Iter_equals_val<int const> >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__ops::_Iter_equals_val<int const>)
  0.00      0.78     0.00   524820     0.00     0.00  std::remove_reference<int&>::type&& std::move<int&>(int&)
  0.00      0.78     0.00   506362     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::__normal_iterator<int*>(__gnu_cxx::__normal_iterator<int*, __gnu_cxx::__enable_if<std::__are_same<int*, int*>::__value, std::vector<int, std::allocator<int> > >::__type> const&)
  0.00      0.78     0.00   506362     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::difference_type __gnu_cxx::operator-<int const*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > const&, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > const&)
  0.00      0.78     0.00   506362     0.00     0.00  std::_Head_base<0ul, int const&, false>::_M_head(std::_Head_base<0ul, int const&, false>&)
  0.00      0.78     0.00   506362     0.00     0.00  std::_Head_base<0ul, int const&, false>::_Head_base(int const&)
  0.00      0.78     0.00   500000     0.00     0.00  void __gnu_cxx::new_allocator<int>::construct<int, int const&>(int*, int const&)
  0.00      0.78     0.00   500000     0.00     0.00  std::vector<int, std::allocator<int> >::push_back(int const&)
  0.00      0.78     0.00   468233     0.00     0.00  __gnu_cxx::new_allocator<int>::deallocate(int*, unsigned long)
  0.00      0.78     0.00   468233     0.00     0.00  __gnu_cxx::new_allocator<int>::allocate(unsigned long, void const*)
  0.00      0.78     0.00   468233     0.00     0.00  std::vector<int, std::allocator<int> >::_M_check_len(unsigned long, char const*) const
  0.00      0.78     0.00   468233     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_allocate(unsigned long)
  0.00      0.78     0.00   468233     0.00     0.00  std::allocator_traits<std::allocator<int> >::deallocate(std::allocator<int>&, int*, unsigned long)
  0.00      0.78     0.00   468233     0.00     0.00  std::allocator_traits<std::allocator<int> >::allocate(std::allocator<int>&, unsigned long)
  0.00      0.78     0.00   468233     0.00     0.00  void std::vector<int, std::allocator<int> >::_M_realloc_insert<int const&>(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, int const&)
  0.00      0.78     0.00   468233     0.00     0.00  unsigned long const& std::max<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      0.78     0.00   417254     0.00     0.00  std::vector<int, std::allocator<int> >::operator[](unsigned long) const
  0.00      0.78     0.00   379572     0.00     0.00  bool std::__detail::operator!=<std::pair<int const, std::vector<int, std::allocator<int> > >, false>(std::__detail::_Node_iterator_base<std::pair<int const, std::vector<int, std::allocator<int> > >, false> const&, std::__detail::_Node_iterator_base<std::pair<int const, std::vector<int, std::allocator<int> > >, false> const&)
  0.00      0.78     0.00   379569     0.00     0.00  std::__detail::_Node_iterator<std::pair<int const, std::vector<int, std::allocator<int> > >, false, false>::operator*() const
  0.00      0.78     0.00   379569     0.00     0.00  std::__detail::_Node_iterator<std::pair<int const, std::vector<int, std::allocator<int> > >, false, false>::operator++()
  0.00      0.78     0.00   379569     0.00     0.00  std::__detail::_Node_iterator_base<std::pair<int const, std::vector<int, std::allocator<int> > >, false>::_M_incr()
  0.00      0.78     0.00   342169     0.00     0.00  std::_Hashtable<int, std::pair<int const, std::vector<int, std::allocator<int> > >, std::allocator<std::pair<int const, std::vector<int, std::allocator<int> > > >, std::__detail::_Select1st, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::_M_bucket_index(std::__detail::_Hash_node<std::pair<int const, std::vector<int, std::allocator<int> > >, false>*) const
  0.00      0.78     0.00   253187     0.00     0.00  std::__detail::_Node_iterator<std::pair<int const, std::vector<int, std::allocator<int> > >, false, false>::_Node_iterator(std::__detail::_Hash_node<std::pair<int const, std::vector<int, std::allocator<int> > >, false>*)
  0.00      0.78     0.00   253187     0.00     0.00  std::__detail::_Node_iterator_base<std::pair<int const, std::vector<int, std::allocator<int> > >, false>::_Node_iterator_base(std::__detail::_Hash_node<std::pair<int const, std::vector<int, std::allocator<int> > >, false>*)
  0.00      0.78     0.00   253183     0.00     0.00  std::__detail::_Hash_node_base::_Hash_node_base()
  0.00      0.78     0.00   253181     0.00     0.00  void __gnu_cxx::new_allocator<std::__detail::_Hash_node<std::pair<int const, std::vector<int, std::allocator<int> > >, false> >::destroy<std::pair<int const, std::vector<int, std::allocator<int> > > >(std::pair<int const, std::vector<int, std::allocator<int> > >*)
  0.00      0.78     0.00   253181     0.00     0.00  __gnu_cxx::new_allocator<std::__detail::_Hash_node<std::pair<int const, std::vector<int, std::allocator<int> > >, false> >::allocate(unsigned long, void const*)
  0.00      0.78     0.00   253181     0.00     0.00  void __gnu_cxx::new_allocator<std::__detail::_Hash_node<std::pair<int const, std::vector<int, std::allocator<int> > >, false> >::construct<std::pair<int const, std::vector<int, std::allocator<int> > >, std::piecewise_construct_t const&, std::tuple<int const&>, std::tuple<> >(std::pair<int const, std::vector<int, std::allocator<int> > >*, std::piecewise_construct_t const&, std::tuple<int const&>&&, std::tuple<>&&)
  0.00      0.78     0.00   253181     0.00     0.00  __gnu_cxx::new_allocator<int>::new_allocator()
  0.00      0.78     0.00   253181     0.00     0.00  __gnu_cxx::new_allocator<int>::~new_allocator()
  0.00      0.78     0.00   253181     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::__normal_iterator(int const* const&)
  0.00      0.78     0.00   253181     0.00     0.00  __gnu_cxx::__ops::__iter_less_iter()
  0.00      0.78     0.00   253181     0.00     0.00  __gnu_cxx::__ops::__iter_equal_to_iter()
  0.00      0.78     0.00   253181     0.00     0.00  __gnu_cxx::new_allocator<std::__detail::_Hash_node<std::pair<int const, std::vector<int, std::allocator<int> > >, false> >::max_size() const
  0.00      0.78     0.00   253181     0.00     0.00  std::vector<int, std::allocator<int> >::cbegin() const
  0.00      0.78     0.00   253181     0.00     0.00  std::__detail::_Node_iterator<std::pair<int const, std::vector<int, std::allocator<int> > >, false, false>::operator->() const
  0.00      0.78     0.00   253181     0.00     0.00  std::__detail::_Hash_code_base<int, std::pair<int const, std::vector<int, std::allocator<int> > >, std::__detail::_Select1st, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_store_code(std::__detail::_Hash_node<std::pair<int const, std::vector<int, std::allocator<int> > >, false>*, unsigned long) const
  0.00      0.78     0.00   253181     0.00     0.00  std::__detail::_Prime_rehash_policy::_M_state() const
  0.00      0.78     0.00   253181     0.00     0.00  std::allocator<int>::allocator()
  0.00      0.78     0.00   253181     0.00     0.00  std::allocator<int>::~allocator()
  0.00      0.78     0.00   253181     0.00     0.00  std::_Hashtable<int, std::pair<int const, std::vector<int, std::allocator<int> > >, std::allocator<std::pair<int const, std::vector<int, std::allocator<int> > > >, std::__detail::_Select1st, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::_M_insert_unique_node(unsigned long, unsigned long, std::__detail::_Hash_node<std::pair<int const, std::vector<int, std::allocator<int> > >, false>*, unsigned long)
  0.00      0.78     0.00   253181     0.00     0.00  std::_Tuple_impl<0ul, int const&>::_Tuple_impl(std::_Tuple_impl<0ul, int const&>&&)
  0.00      0.78     0.00   253181     0.00     0.00  std::_Tuple_impl<0ul, int const&>::_Tuple_impl(int const&)
  0.00      0.78     0.00   253181     0.00     0.00  void std::_Destroy_aux<true>::__destroy<int*>(int*, int*)
  0.00      0.78     0.00   253181     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::_Vector_impl()
  0.00      0.78     0.00   253181     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl_data::_Vector_impl_data()
  0.00      0.78     0.00   253181     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_base()
